rank,lemma
235,saisir
236,lâcher
237,poser
238,placer
239,ranger
240,garder
241,cacher
242,montrer
243,indiquer
244,signaler
245,annoncer
246,informer
247,avertir
248,prévenir
249,promettre
250,jurer
251,mentir
252,affirmer
253,nier
254,confirmer
255,douter
256,supposer
257,imaginer
258,deviner
259,reconnaître
260,identifier
261,distinguer
262,comparer
263,ressembler
264,différer
265,varier
266,changer
267,transformer
268,améliorer
269,empirer
270,augmenter
271,diminuer
272,réduire
273,agrandir
274,rétrécir
275,grandir
276,vieillir
277,rajeunir
278,grossir
279,maigrir
280,guérir
281,souffrir
282,supporter
283,tolérer
284,ignorer
285,négliger
286,mépriser
287,respecter
288,admirer
289,apprécier
290,aimer
291,adorer
292,détester
293,haïr
294,pardonner
295,excuser
296,punir
297,récompenser
298,féliciter
299,remercier
300,saluer
301,présenter
302,inviter
303,accueillir
304,recevoir
305,héberger
306,loger
307,nourrir
308,élever
309,soigner
310,guérir
311,blesser
312,frapper
313,battre
314,vaincre
315,perdre
316,gagner
317,jouer
318,parier
319,risquer
320,oser
321,hésiter
322,décider
323,choisir
324,préférer
325,éviter
326,empêcher
327,permettre
328,interdire
329,autoriser
330,obliger
331,forcer
332,contraindre
333,convaincre
334,persuader
335,influencer
336,inspirer
337,motiver
338,encourager
339,décourager
340,rassurer
341,inquiéter
342,effrayer
343,étonner
344,surprendre
345,choquer
346,émouvoir
347,toucher
348,intéresser
349,ennuyer
350,fatiguer
351,épuiser
352,reposer
353,détendre
354,relaxer
355,stresser
356,pays
357,région
358,ville
359,village
360,quartier
361,rue
362,route
363,chemin
364,place
365,parc
366,jardin
367,maison
368,appartement
369,bâtiment
370,immeuble
371,école
372,université
373,hôpital
374,magasin
375,marché
376,restaurant
377,café
378,bureau
379,usine
380,ferme
381,forêt
382,montagne
383,mer
384,océan
385,rivière
386,fleuve
387,lac
388,plage
389,île
390,ciel
391,soleil
392,lune
393,étoile
394,nuage
395,pluie
396,neige
397,vent
398,orage
399,tonnerre
400,éclair
401,froid
402,chaud
403,tiède
404,humide
405,sec
406,lumière
407,obscurité
408,ombre
409,couleur
410,rouge
411,bleu
412,vert
413,jaune
414,noir
415,blanc
416,gris
417,brun
418,rose
419,violet
420,orange
421,famille
422,parent
423,père
424,mère
425,frère
426,sœur
427,fils
428,fille
429,mari
430,épouse
431,ami
432,voisin
433,collègue
434,patron
435,employé
436,client
437,étudiant
438,professeur
439,médecin
440,avocat
441,ingénieur
442,artiste
443,écrivain
444,musicien
445,acteur
446,chanteur
447,peintre
448,cuisinier
449,vendeur
450,ouvrier
451,agriculteur
452,soldat
453,policier
454,pompier
455,infirmier
456,corps
457,tête
458,visage
459,front
460,œil
461,nez
462,bouche
463,dent
464,oreille
465,cou
466,épaule
467,bras
468,coude
469,main
470,doigt
471,poitrine
472,dos
473,ventre
474,jambe
475,genou
476,pied
477,peau
478,cheveu
479,os
480,cœur
481,sang
482,argent
483,prix
484,coût
485,valeur
486,richesse
487,pauvreté
488,salaire
489,dépense
490,économie
491,banque
492,compte
493,monnaie
494,dette
495,impôt
496,gouvernement
497,politique
498,loi
499,justice
500,liberté
